Year,Avg_Page_Count_Per_Issue
1875,5.56846036001532
1876,5.6415704475851705
1877,5.664642514711136
1878,5.764133989864501
1879,5.743126556126503
1880,5.628127260797147
1881,5.687446557927173
1882,5.688766452402816
1883,5.856123151014792
1884,5.916643039410264
1885,5.8549233996567285
1886,5.9440326256447165
1887,6.241561778154905
1888,6.190494073465556
1889,6.469189471414141
1890,6.779423741498096
1891,6.918689613844003
1892,7.163846561341186
1893,7.311857734206895
1894,7.42628570352303
1895,7.835849399781739
1896,8.038756681426076
1897,7.9817993476530065
1898,8.061170836263774
1899,8.0665132243085
1900,8.379932365356211
1901,8.512663803982887
1902,8.81106087934225
1903,8.752914179417393
1904,8.861104546394493
1905,9.059289397532691
1906,9.074610316224918
1907,9.360701377356648
1908,9.176981841610456
1909,9.363712682350359
1910,9.643742860769134
1911,9.74582028178455
1912,10.05511454724104
1913,10.046906966988287
1914,10.066968170586852
1915,10.25438784837461
1916,10.474371231063392
1917,10.119653392330383
1918,9.88251664652801
1919,10.972742280178647
1920,11.07893099710751
1921,10.920184587104433
1922,11.652256201464677
1923,11.593881508200608
1924,11.718515318362732
1925,11.922301711299326
1926,12.566839397348184
1927,12.709252581767318
1928,12.800379710039605
1929,13.264165620635398
1930,12.781771797574653
1931,12.05724778769228
1932,10.859662068128111
1933,10.696294058789103
1934,11.511799724102175
1935,11.921204285186553
1936,12.353819969742814
1937,12.73202167873571
1938,12.25602485988152
1939,12.855587365654479
1940,13.029417885317542
1941,12.980948608399588
1942,12.050992059767612
1943,11.60982025427444
1944,11.85566541221526
1945,11.70281587628671
1946,12.732951621806206
1947,14.318336816631835
1948,15.227201686475484
1949,16.226121338300825
1950,17.299002302379126
1951,17.207436949322275
1952,17.73429331376685
1953,18.06804372220606
1954,18.138386829133385
1955,19.24652811420082
1956,19.687939746705897
1957,19.610120080516417
1958,19.651587813950627
1959,20.26651653936277
1960,20.611198052512606
1961,20.36600639272213
1962,20.69989438251765
1963,21.154134281524705
1964,22.092219604076302
1965,23.74255189255189
1966,24.547330901856764
1967,24.785496926541295
1968,25.64361374974373
1969,27.360877845424827
1970,26.377701751442515
1971,27.904290405224984
1972,29.7220503756076
1973,30.798431639475606
1974,31.109437382653173
1975,31.32641740816792
1976,32.8570962363875
1977,35.065756940089244
1978,35.193976289650756
1979,36.22615587846764
1980,36.76323661381992
1981,37.799448952250955
1982,37.159222850065795
1983,41.34646886107248
1984,45.119185745364135
1985,44.42674182989557
1986,43.09804175516759
1987,43.88546469303567
1988,45.09895652173913
1989,47.150751693375184
1990,46.457791820674856
1991,46.09460186259801
1992,43.7567745503384
1993,43.207304276610444
1994,45.43407773244578
1995,46.415061799367635
1996,48.39312649729378
1997,52.26037902159542
1998,52.13398542281952
1999,53.35010594716768
2000,51.15486249807958
2001,46.07391840955336
2002,46.43993382150188
2003,48.3431193690533
2004,48.78791888393499
2005,45.754259463859974
2006,46.348896333074116
2007,46.68797025244749
2008,43.709170854271356
2009,40.47287367891293
2010,38.6332880992205
2011,38.87520520550398
2012,38.48735710629585
2013,37.705918280095275
2014,35.5784288113454
2015,31.151166909362825
2016,30.143271221532093
2017,30.399573196756297
2018,28.31604679587917
2019,27.68027706890266
2020,24.139144073493167
2021,23.310212684422304
2022,24.661995328661995
